model,unfairness_metric,iteration,unfairness,,auc,,unfairness_weight,unfairness_scaled,auc_scaled,protected_column_selected_prop
LogisticRegression,overall_accuracy_equality,74,0.02942751,0.168481343,0.539937355,0.79106524,0,0.168481343,0.79106524,0.5
LogisticRegression,overall_accuracy_equality,75,0.029803172,0.286347354,0.540012513,0.84757908,0,0.286347354,0.84757908,0.25
LogisticRegression,overall_accuracy_equality,76,0.029980642,0.342029573,0.540076603,0.89577029,0,0.342029573,0.89577029,0.5
LogisticRegression,overall_accuracy_equality,77,0.029771858,0.276522312,0.53997864,0.822109054,0,0.276522312,0.822109054,0.75
LogisticRegression,overall_accuracy_equality,78,0.029408129,0.162400205,0.539775552,0.669400906,0,0.162400205,0.669400906,0.25
LogisticRegression,overall_accuracy_equality,79,0.029716635,0.259195659,0.539815959,0.699784585,0,0.259195659,0.699784585,0.5
LogisticRegression,overall_accuracy_equality,80,0.030508064,0.507511147,0.539945091,0.796882801,0,0.507511147,0.796882801,0
LogisticRegression,overall_accuracy_equality,81,0.030197058,0.409931084,0.539912824,0.772619717,0,0.409931084,0.772619717,0.25
LogisticRegression,overall_accuracy_equality,82,0.030105624,0.381243138,0.540011815,0.847054505,0,0.381243138,0.847054505,0
LogisticRegression,overall_accuracy_equality,83,0.029531156,0.201000769,0.539752119,0.651781251,0,0.201000769,0.651781251,0.75
LogisticRegression,overall_accuracy_equality,84,0.029428997,0.168947733,0.539895837,0.759847169,0,0.168947733,0.759847169,0.25
LogisticRegression,overall_accuracy_equality,85,0.029183954,0.092064269,0.539895698,0.759742643,0,0.092064269,0.759742643,0.5
LogisticRegression,overall_accuracy_equality,86,0.030864762,0.619426891,0.5399976,0.836365789,0,0.619426891,0.836365789,0.5
LogisticRegression,overall_accuracy_equality,87,0.03014413,0.393324641,0.540074057,0.893856159,0,0.393324641,0.893856159,0.25
LogisticRegression,overall_accuracy_equality,88,0.030607181,0.53860966,0.539938916,0.792239641,0,0.53860966,0.792239641,0.5
LogisticRegression,overall_accuracy_equality,89,0.029504535,0.192648414,0.539841788,0.7192055,0,0.192648414,0.7192055,0.5
LogisticRegression,overall_accuracy_equality,90,0.030188949,0.407387044,0.540020669,0.853711745,0,0.407387044,0.853711745,0.5
LogisticRegression,overall_accuracy_equality,91,0.029917965,0.322364319,0.539979042,0.82241148,0,0.322364319,0.82241148,0.5
LogisticRegression,overall_accuracy_equality,92,0.030495094,0.503441602,0.539742629,0.644645089,0,0.503441602,0.644645089,0.25
LogisticRegression,overall_accuracy_equality,93,0.02992011,0.323037258,0.539907795,0.768838848,0,0.323037258,0.768838848,0.5
LogisticRegression,overall_accuracy_equality,94,0.030011017,0.351559644,0.539717573,0.62580455,0,0.351559644,0.62580455,0.5
LogisticRegression,overall_accuracy_equality,95,0.02958738,0.218641238,0.539724205,0.630791676,0,0.218641238,0.630791676,0.25
LogisticRegression,overall_accuracy_equality,96,0.029504146,0.192526118,0.539895122,0.759309403,0,0.192526118,0.759309403,0.5
LogisticRegression,overall_accuracy_equality,97,0.029503203,0.192230414,0.540058465,0.882131656,0,0.192230414,0.882131656,0.25
LogisticRegression,overall_accuracy_equality,98,0.031020932,0.668426166,0.539929224,0.784951431,0,0.668426166,0.784951431,0.5
LogisticRegression,overall_accuracy_equality,99,0.030370546,0.464363918,0.540175654,0.970249723,0,0.464363918,0.970249723,0.25
LogisticRegression,overall_accuracy_equality,100,0.02989029,0.313681173,0.540070407,0.891111403,0,0.313681173,0.891111403,0
LogisticRegression,overall_accuracy_equality,1,0.029952751,0.333278577,0.539826988,0.708077288,1,0.333278577,0.708077288,0.5
LogisticRegression,overall_accuracy_equality,2,0.030352706,0.458766475,0.539628545,0.558862161,1,0.458766475,0.558862161,0.5
LogisticRegression,overall_accuracy_equality,3,0.029243904,0.11087373,0.539938848,0.792188455,1,0.11087373,0.792188455,0.25
LogisticRegression,overall_accuracy_equality,4,0.030899167,0.630221734,0.539780704,0.673275231,1,0.630221734,0.673275231,0.5
LogisticRegression,overall_accuracy_equality,5,0.030283448,0.437036388,0.539641237,0.56840528,1,0.437036388,0.56840528,0.75
LogisticRegression,overall_accuracy_equality,6,0.030716409,0.572880308,0.539610443,0.545250381,1,0.572880308,0.545250381,0.5
LogisticRegression,overall_accuracy_equality,7,0.030683416,0.562528603,0.539526956,0.482474208,1,0.562528603,0.482474208,0.75
LogisticRegression,overall_accuracy_equality,8,0.030853371,0.61585313,0.539849134,0.724729437,1,0.61585313,0.724729437,0.25
LogisticRegression,overall_accuracy_equality,9,0.03007575,0.371870235,0.539984896,0.826813391,1,0.371870235,0.826813391,0.25
LogisticRegression,overall_accuracy_equality,10,0.030426678,0.481975806,0.539759491,0.657324096,1,0.481975806,0.657324096,0.5
LogisticRegression,overall_accuracy_equality,11,0.029873799,0.308506799,0.539886163,0.752572467,1,0.308506799,0.752572467,0.5
LogisticRegression,overall_accuracy_equality,12,0.030257216,0.428806063,0.540013594,0.848392219,1,0.428806063,0.848392219,0.5
LogisticRegression,overall_accuracy_equality,13,0.030260539,0.429848557,0.539745376,0.646710934,1,0.429848557,0.646710934,0.25
LogisticRegression,overall_accuracy_equality,14,0.030261014,0.429997733,0.539882018,0.74945634,1,0.429997733,0.74945634,0.5
LogisticRegression,overall_accuracy_equality,15,0.029996386,0.346969076,0.539752671,0.652196321,1,0.346969076,0.652196321,0.5
LogisticRegression,overall_accuracy_equality,16,0.029590881,0.219739738,0.539885412,0.752007796,1,0.219739738,0.752007796,1
LogisticRegression,overall_accuracy_equality,17,0.030595024,0.534795255,0.539621473,0.55354456,1,0.534795255,0.55354456,0.5
LogisticRegression,overall_accuracy_equality,18,0.029308839,0.131247574,0.539841991,0.719358606,1,0.131247574,0.719358606,0.25
LogisticRegression,overall_accuracy_equality,19,0.030451608,0.489797543,0.539788612,0.679220912,1,0.489797543,0.679220912,0.5
LogisticRegression,overall_accuracy_equality,20,0.030205383,0.412543316,0.539848301,0.724102949,1,0.412543316,0.724102949,0.25
LogisticRegression,overall_accuracy_equality,21,0.030082367,0.373946198,0.53983638,0.715139658,1,0.373946198,0.715139658,0.5
LogisticRegression,overall_accuracy_equality,22,0.029857802,0.303487643,0.539793123,0.682612816,1,0.303487643,0.682612816,0.25
LogisticRegression,overall_accuracy_equality,23,0.029627066,0.23109315,0.539677492,0.5956668,1,0.23109315,0.5956668,0.75
LogisticRegression,overall_accuracy_equality,24,0.029791098,0.282558908,0.539806367,0.69257137,1,0.282558908,0.69257137,0
LogisticRegression,overall_accuracy_equality,25,0.030744325,0.581639274,0.539679744,0.597360312,1,0.581639274,0.597360312,0.75
LogisticRegression,overall_accuracy_equality,26,0.029854967,0.30259836,0.539795655,0.684516916,1,0.30259836,0.684516916,0.5
LogisticRegression,overall_accuracy_equality,27,0.029779182,0.278820297,0.539871028,0.741192587,1,0.278820297,0.741192587,0.75
LogisticRegression,overall_accuracy_equality,28,0.029856885,0.303199968,0.539568855,0.513979471,1,0.303199968,0.513979471,0.25
LogisticRegression,overall_accuracy_equality,29,0.030280697,0.436173329,0.539541463,0.493382563,1,0.436173329,0.493382563,0.5
LogisticRegression,overall_accuracy_equality,30,0.029960949,0.335850619,0.539824464,0.706179161,1,0.335850619,0.706179161,0
LogisticRegression,overall_accuracy_equality,31,0.03112542,0.701210011,0.53929978,0.311653761,1,0.701210011,0.311653761,0.25
LogisticRegression,overall_accuracy_equality,32,0.030621042,0.542958354,0.539891517,0.756598434,1,0.542958354,0.756598434,0.75
LogisticRegression,overall_accuracy_equality,33,0.029696951,0.253019834,0.539709865,0.620008971,1,0.253019834,0.620008971,1
LogisticRegression,overall_accuracy_equality,34,0.029649955,0.238274544,0.539692655,0.607068319,1,0.238274544,0.607068319,0
LogisticRegression,overall_accuracy_equality,35,0.031646065,0.864565231,0.539842505,0.71974498,1,0.864565231,0.71974498,0.5
LogisticRegression,overall_accuracy_equality,36,0.031196067,0.723375689,0.539742868,0.644825077,1,0.723375689,0.644825077,0.25
LogisticRegression,overall_accuracy_equality,37,0.029524435,0.198891936,0.539700946,0.613302288,1,0.198891936,0.613302288,0.5
LogisticRegression,overall_accuracy_equality,38,0.029520532,0.19766739,0.539979777,0.822964271,1,0.19766739,0.822964271,0
LogisticRegression,overall_accuracy_equality,39,0.029591581,0.219959322,0.539568353,0.513601861,1,0.219959322,0.513601861,0.75
LogisticRegression,overall_accuracy_equality,40,0.029386836,0.155719681,0.53976788,0.663632452,1,0.155719681,0.663632452,0.25
LogisticRegression,overall_accuracy_equality,41,0.029566249,0.212011278,0.539829403,0.709893383,1,0.212011278,0.709893383,0.5
